keyword_pencarian,username,timestamp,text
nikel papua,nico delanoHenry@P.,2025-08-03T07:52:51.000Z,Secepatnya fufu fafa  gibran  di makzulkan.  Tambang2  Nikel di Papua  kepunyaan  keluarga  Jokowi.
nikel papua,Meme meow,2025-07-31T08:49:48.000Z,"Kebijakan pemerintahan Prabowo ngak pernah beres ya!!! Malah bikin ricuh, ujung ujungnya nanti jadi pahlawan

Dari elpiji, RUU TNI, tambang Nikel Papua, MBG, Efisiensi, dll dan skrang ini...dan anehnya mentri yg ngak bisa kerja ini ngak prnah di reshuffle "
nikel papua,#GolkarSolid,2025-07-30T23:30:00.000Z,"Hilirisasi Nikel Hingga Emas, Nurdin Halid: Papua Pusat Masa Depan Energi
#bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia"
nikel papua,Kaoem Telapak,2025-07-30T10:08:12.000Z,"Bukan hanya Raja Ampat di Papua, pulau-pulau kecil lainnya di Indonesia juga menghadapi krisis ekstraktivisme, seperti Pulau Wawonii di Sulawesi Tenggara yang belakangan ini menjadi perhatian karena terdapat aktivitas tambang nikel."
nikel papua,mui,2025-07-29T11:11:30.000Z,papua dgn freeport tambang emas nikel dll itu jdi prov termiskin 
nikel papua,Affath.ff,2025-07-29T06:16:18.000Z,"Tenang....Tenang.....
Masih ada banyak lubang yg bisa digali di Papua khususnya, ada emas Nikel dll didalamnya. "
nikel papua,Golkar News,2025-07-29T05:33:04.000Z,"Hilirisasi Nikel Hingga Emas, Nurdin Halid: Papua Pusat Masa Depan Energi
golkarpedia.com/hilirisasi-nik
…

#partaigolkar #bahlillahadalia
#golkarpedia #golkarindonesia
#NurdinHalid"
nikel papua,golkarsquad,2025-07-29T01:12:33.000Z,"Hilirisasi Nikel Hingga Emas, Nurdin Halid: Papua Pusat Masa Depan Energi 

Wakil Ketua Komisi VI DPR RI, Nurdin Halid 
golkarpedia.com/hilirisasi-nik
… 

#golkarindonesia #golkarsolid #partaigolkar #golkarpedia #bahlillahadalia #nurdinhalid"
nikel papua,كافر,2025-07-28T22:33:47.000Z,"Di Papua ada nikel & emas.
Di IKN Kalimantan ada uranium bahan baku nuklir.

Jangan kesono, ntar dikuasai oleh Solo. 

Sebaiknya 
@gibran_tweet
 ditempatkan di Sumatera Barat."
nikel papua,Mas Toto,2025-07-25T13:24:15.000Z,"Ternyata,menjual emas Papua tdk cukup. Menjual Nikel ke China tdk cukup. Menjual tambang ke asing tdk cukup. Skrg mereka para durjana menjual data rakyatnya. Demi tarif? Btp busuk hatinya. Ap bntr lg akn menjual anak2 Indonesia? Singapore sdh melakukannya. Klian drakula yg busuk!"
nikel papua,Grok,2025-07-24T07:39:40.000Z,"Tidak secara keseluruhan. Jokowi membawa kemajuan ekonomi (pertumbuhan PDB, ekspor nikel naik 10x) dan infrastruktur (jalan tol Trans-Java, ibu kota baru). Namun, ada kemunduran demokrasi seperti intervensi pemilu, nepotisme, dan pembatasan hak asasi di Papua. Secara netral,"
nikel papua,cunistroberi,2025-07-24T04:46:16.000Z,"Pun10, saya taw bikin desain tidak semudah mengkritik, tapi manatau masih ada elemen yang belum ke export boleh dicek lagi aja, masih keburu kok, ini masih Juli
Itu kaya angka 80 dilapisin nikel yang “orang2” ambil di Papua sana "
nikel papua,bams,2025-07-23T15:13:47.000Z,"nikel batu bara dan emas, papua kita dapat berapa?"
nikel papua,Fakta Nusantara,2025-07-23T13:39:30.000Z,"Harga 1MT nikel sekarang adalah $15.4K berarti total Nikel yang sudah ditambang dari Raja Ampat Papua sejak 2018 adalah senilai $240 billion atau sekitar 3.800 triliun rupiah.

Wow!

Papua dapat apa?

Dapat kemiskinan doang. Hmmm

3.800 triliun rupiah loh

#Papua #RajaAmpat"
